NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
0100-01-,Abu,Japan,Thermoluminescence,34.5,131.6,641,Shield volcano,-6850,Honshu-Japan
0100-02-,Acamarachi,Chile,Holocene,-23.3,-67.61666667,6046,Stratovolcano,unknown,Chile-N
0100-03-,Acatenango,Guatemala,Historical,14.50055556,-90.87583333,3976,Stratovolcano,1972,Guatemala
0100-04-,Acigol-Nevsehir,Turkey,Anthropology,38.56666667,34.51666667,1689,Caldera,-2080,Turkey
0101-001,Adams,United States,Tephrochronology,46.20555556,-121.4897222,3742,Stratovolcano,-950,US-Washington
0101-003,Adams Seamount,Pacific Ocean,Potassium-Argon,-25.36666667,-129.2666667,-39,Submarine volcano,-50,Pacific-C
0101-004,Adatara,Japan,Historical,37.64416667,140.2861111,1718,Stratovolcano,1996,Honshu-Japan
0101-01=,Adwa,Ethiopia,Holocene,10.07,40.84,1733,Stratovolcano,unknown,Ethiopia
0101-02=,Afdera,Ethiopia,Holocene,13.08333333,40.85,1295,Stratovolcano,unknown,Ethiopia
0101-031,Agrigan,Pacific Ocean,Historical,18.76666667,145.6666667,965,Stratovolcano,1917,Mariana is-C Pacific
0101-03=,Agua,Guatemala,Holocene,14.46472222,-90.74305556,3760,Stratovolcano,unknown,Guatemala
0101-041,Agua de Pau,Portugal,Historical,37.76666667,-25.46666667,947,Stratovolcano,1564,Azores
0101-042,Aguilera,Chile,Radiocarbon,-50.33333333,-73.75,2546,Stratovolcano,-1250,Chile-S
0101-04=,Agung,Indonesia,Historical,-8.341666667,115.5083333,3142,Stratovolcano,1964,Lesser Sunda Islands
0101-05=,Ahyi,Pacific Ocean,Seismicity,20.41666667,145.0333333,-137,Submarine volcano,2001,Mariana is-C Pacific
0101-06=,Akademia Nauk,Russia,Historical,53.98333333,159.45,1180,Stratovolcano,1996,Kamchatka
0101-071,Akagi,Japan,Holocene,36.55722222,139.1963889,1828,Stratovolcano,1828,Honshu-Japan
0101-07=,Akan,Japan,Historical,43.38416667,144.0127778,1499,Caldera,2008,Hokkaido-Japan
0102-02=,Akhtang,Russia,Holocene,55.43333333,158.65,1956,Shield volcano,unknown,Kamchatka
0102-03=,Akita-Komaga-take,Japan,Historical,39.75833333,140.8027778,1637,Stratovolcano,1971,Honshu-Japan
0102-04=,Akita-Yake-yama,Japan,Historical,39.96111111,140.7605556,1366,Stratovolcano,1997,Honshu-Japan
0102-051,Akuseki-jima,Japan,Holocene,29.46138889,129.5969444,584,Stratovolcano,unknown,Ryukyu is
