GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53053062000,2065337,33947,47.2293124,-122.4184094,4228,0.073555766,0.00024934
53053071601,4032408,0,47.1797628,-122.4100405,4920,0.093150162,0.000478506
53053073111,3722813,9777,47.1222606,-122.2774345,4346,0.103715242,0.000442434
53053940007,2496062,19583,47.232117,-122.4011947,3150,0.07635807,0.000298811
53053940006,1825313,0,47.2153941,-122.4012241,2447,0.060721733,0.000216745
53053073116,16086210,51408,47.022268,-122.32238,3352,0.181194036,0.001909685
53053072800,17788609,5712976,47.1023688,-122.6646903,8267,0.296895958,0.002784842
53053072107,4886687,160238,47.167782,-122.5585803,4197,0.10961206,0.00059875
53053071703,870866,50966,47.1709835,-122.463994,3670,0.069522029,0.000109372
53053073113,18494403,6944,47.0719425,-122.2649319,6364,0.24358317,0.002191041
53053072506,15310755,12251321,47.3645964,-122.5517132,3438,0.249470882,0.003281851
53053071411,3379474,0,47.0718234,-122.4088549,4725,0.100274967,0.000400223
53053071410,5863766,0,47.0857643,-122.4199422,5724,0.141675361,0.000694612
53053072308,7758469,9209648,47.2057027,-122.5747949,6886,0.260095551,0.002014372
53053940010,8891471,277252,47.2059953,-122.3015523,3985,0.23627126,0.001088575
53053071409,2125874,0,47.1007056,-122.4174613,4409,0.084046847,0.000251896
53053073302,2969879,104978,47.1972462,-122.2371882,4033,0.130601548,0.000364992
53053071803,4601874,0,47.1847255,-122.5078626,5254,0.140714323,0.000546132
53053073115,6850712,3197,47.0394147,-122.3483495,4449,0.124566701,0.000811193
53053072106,3402637,0,47.186136,-122.533961,5921,0.095891828,0.000403822
53053072105,4670508,15487,47.1871468,-122.553261,5230,0.126965995,0.000556152
53053062600,6947731,6314,47.2203846,-122.4773836,2977,0.206129872,0.000825818
53053073200,547849892,11770247,46.8396447,-122.1317883,6220,1.457528378,0.065993232
53053072410,13514702,24930837,47.2524317,-122.6399961,3633,0.297057643,0.004568041
53053073110,5662560,138804,47.1337449,-122.2530423,3864,0.137821795,0.000687847
53053073108,9902119,0,47.0940827,-122.3370511,7451,0.157735289,0.001173168
53053071902,6314496,2751449,47.1530137,-122.5374064,5183,0.1756334,0.001075279
53053072307,1953748,0,47.2165495,-122.5529414,4357,0.085734938,0.000232
53053072311,2443701,6948,47.231509,-122.5321758,4231,0.082774196,0.000291077
53053072109,4061199,10540232,47.1668216,-122.6128467,3468,0.207784736,0.001732331
53053072407,5520662,4000034,47.2984272,-122.5635095,4790,0.201366811,0.001132256
53053073001,64359627,959259,46.9683597,-122.5002896,6082,0.413262409,0.007720854
53053070100,1897355141,13767066,46.9553624,-121.8157019,3406,2.723270432,0.225887061
53053073006,119019611,2753601,46.8987783,-122.4184454,3828,0.680874175,0.014374984
53053070206,38985434,419124,47.1089989,-122.091859,4172,0.472975072,0.004670105
53053071506,3932086,0,47.1216337,-122.4054248,5314,0.125914411,0.000466097
53053071504,2651532,0,47.145689,-122.4452788,5539,0.078057021,0.000314445
53053070309,11566869,21534,47.1858588,-122.1481055,5601,0.219730417,0.001375182
53053063501,1915151,6994,47.186447,-122.4512342,4164,0.063295615,0.00022812
53053071901,4157485,17400,47.1583515,-122.5177139,4713,0.11628464,0.000495209
53053062900,2981953,0,47.2003278,-122.4786272,7365,0.10283514,0.000353989
53053063000,2204913,0,47.1971869,-122.4677762,2956,0.07757788,0.000261731
53053070401,9393178,345153,47.1679233,-122.2248326,2046,0.18417743,0.001155327
53053063502,1927508,9524,47.175075,-122.4516642,5179,0.064370519,0.00022984
